,country,total_cases,total_deaths,total_recovered,active_cases,seriuos_cases,tot_cases_per_1m,death_per_1m,total_tests,total_tests_per_1m,pop
163,Cayman Islands,137,1,63.0,73.0,2087.0,15.0,9815.0,149514.0,65646.0,
164,Cambodia,124,122,2.0,1.0,7.0,18392.0,1102.0,16695847.0,,
165,Syria,121,4,41.0,76.0,7.0,0.2,17455726.0,,,
166,Trinidad and Tobago,116,8,108.0,0.0,83.0,6.0,3012.0,2153.0,1399061.0,
167,Malawi,101,4,37.0,60.0,1.0,5.0,0.2,3372.0,177.0,19077274.0
168,Aruba,101,3,95.0,3.0,3.0,946.0,28.0,2073.0,19424.0,106723.0
169,Bahamas,100,11,46.0,43.0,1.0,255.0,28.0,2026.0,5157.0,392877.0
170,Monaco,98,4,90.0,4.0,2.0,2499.0,102.0,39215.0,,
171,Barbados,92,7,71.0,14.0,1.0,320.0,24.0,4888.0,17011.0,287342.0
172,Comoros,87,1,21.0,65.0,100.0,1.0,867674.0,,,
173,Liechtenstein,82,1,55.0,26.0,2151.0,26.0,900.0,23611.0,38118.0,
174,Sint Maarten,77,15,59.0,3.0,1.0,1798.0,350.0,438.0,10227.0,42828.0
175,Libya,77,3,40.0,34.0,11.0,0.4,5154.0,751.0,6861969.0,
176,Angola,70,4,18.0,48.0,2.0,0.1,10000.0,305.0,32754235.0,
177,French Polynesia,60,60,0.0,214.0,3964.0,14119.0,280753.0,,,
178,Zimbabwe,56,4,25.0,27.0,4.0,0.3,37039.0,2496.0,14841222.0,
179,Macao,45,45,0.0,69.0,648452.0,,,,,
180,Burundi,42,1,20.0,21.0,4.0,0.08,284.0,24.0,11852246.0,
181,Saint Martin,40,3,33.0,4.0,1.0,1036.0,78.0,553.0,14327.0,38599.0
182,Eritrea,39,39,0.0,11.0,3541517.0,,,,,
183,Botswana,35,1,20.0,14.0,15.0,0.4,17631.0,7513.0,2346718.0,
184,Bhutan,27,6,21.0,35.0,15862.0,20579.0,770772.0,,,
185,Antigua and Barbuda,25,3,19.0,3.0,1.0,255.0,31.0,183.0,1870.0,97850.0
186,Gambia,25,1,18.0,6.0,10.0,0.4,1657.0,688.0,2409346.0,
187,Timor-Leste,24,24,0.0,18.0,1290.0,980.0,1315864.0,,,
188,Grenada,23,18,5.0,4.0,204.0,3007.0,26735.0,112473.0,,
189,Namibia,21,14,7.0,8.0,3186.0,1256.0,2536200.0,,,
190,Laos,19,14,5.0,3.0,5855.0,806.0,7264973.0,,,
191,Belize,18,2,16.0,0.0,45.0,5.0,1485.0,3742.0,396890.0,
192,Curaçao,18,1,14.0,3.0,110.0,6.0,572.0,3487.0,164029.0,
193,Fiji,18,15,3.0,20.0,1300.0,1451.0,895819.0,,,
194,New Caledonia,18,18,0.0,63.0,5454.0,19121.0,285230.0,,,
195,Saint Lucia,18,18,0.0,98.0,924.0,5034.0,183547.0,,,
196,St. Vincent Grenadines,18,14,4.0,162.0,216.0,1948.0,110907.0,,,
197,Dominica,16,16,0.0,222.0,433.0,6016.0,71969.0,,,
198,Saint Kitts and Nevis,15,15,0.0,282.0,394.0,7411.0,53163.0,,,
199,Falkland Islands,13,13,0.0,3747.0,466.0,134333.0,3469.0,,,
200,Turks and Caicos,12,1,10.0,1.0,310.0,26.0,126.0,3259.0,38665.0,
201,Greenland,12,11,1.0,211.0,1938.0,34143.0,56761.0,,,
202,Vatican City,12,2,10.0,14981.0,801.0,,,,,
203,Montserrat,11,1,10.0,0.0,2204.0,200.0,36.0,7212.0,4992.0,
204,Suriname,11,1,9.0,1.0,19.0,2.0,488.0,833.0,586121.0,
205,Seychelles,11,11,0.0,112.0,98289.0,,,,,
206,MS Zaandam,9,2,7.0,0.0,,,,,,
207,Western Sahara,9,1,6.0,2.0,15.0,2.0,595784.0,,,
208,British Virgin Islands,8,1,7.0,0.0,265.0,33.0,167.0,5528.0,30212.0,
209,Papua New Guinea,8,8,0.0,0.9,2402.0,269.0,8929617.0,,,
210,Caribbean Netherlands,6,6,0.0,229.0,424.0,16184.0,26199.0,,,
211,St. Barth,6,6,0.0,608.0,137.0,13875.0,9874.0,,,
212,Anguilla,3,3,0.0,200.0,30.0,2001.0,14990.0,,,
213,Lesotho,2,2,0.9,283.0,132.0,2140606.0,,,,
214,Saint Pierre Miquelon,1,1,0.0,173.0,5797.0,,,,,
215,China,82993,4634,78280.0,79.0,5.0,58.0,3.0,1439323776.0,,
